ID,Zip,BirthMonth,TotalSales,TotalSavings,TotalVisits,LastVisit,ReferralCode
542429,35118,,1119.1700,123.1900,17,2009-05-09 17:09:32,Friend
542430,35242,,489.4500,0.0000,8,2020-02-29 14:09:52, 
542449,35674-4827,,1109.7000,114.1800,7,2007-11-12 13:53:55, 
542461,35121,,2438.4700,146.0000,24,2019-08-17 12:42:58, 
542462,35210,,2045.5250,97.6000,13,2015-12-19 16:42:21, 
542469,35490,,1264.5300,57.8500,10,2008-02-03 12:51:36, 
542512,35661,,1062.5700,38.1400,26,2008-05-27 15:28:01, 
542525,350051593,,139.5000,5.2400,7,2012-05-24 14:15:37, 
542558,35976,,1311.8492,29.2700,30,2016-09-02 15:39:12, 
542617,355045628,,698.1220,70.9800,17,2014-09-29 14:04:10, 
542626,840033730,,2531.1430,216.5100,26,2007-12-01 17:48:06, 
542631,35758,,197.5400,21.4600,9,2008-10-03 12:35:54, 
542660,35640-5405,,3786.4200,110.6000,19,2017-05-11 17:34:49.700000,Catalog
542661,35040,,2309.3040,190.5000,57,2013-08-17 09:50:03,Friend
542663,35235,,1059.6000,117.6900,13,2011-01-28 18:52:11, 
542682,35242,,2916.9700,463.4400,32,2020-03-04 15:21:25,Friend
542687,35244,,2338.9100,148.3100,48,2019-12-13 12:33:51, 
542688,36401-7203,,1261.7500,108.6267,12,2009-03-24 12:48:55.017000, 
542700,36207,,4533.4000,48.0000,11,2008-05-01 12:37:09,Friend
542756,35171,,459.5300,34.0000,7,2014-12-16 15:34:14, 
542772,35205,,249.8700,0.0200,7,2009-04-09 15:53:50, 
542793,35244,,195.1400,22.9600,12,2015-08-09 12:33:12, 
542814,35173,,730.1800,22.2500,11,2019-09-07 10:14:04, 
542856,35071,,2876.7849,261.1700,33,2018-12-15 10:08:11, 
542869,35242,,5681.7700,832.1623,79,2020-01-05 14:08:36, 
542875,35640,,2021.4000,83.6500,13,2010-06-26 10:29:02, 
542890,352161716,,591.9600,47.0000,11,2007-01-06 10:22:44, 
542895,35115,,5040.2100,132.4650,46,2020-01-16 10:05:11,Friend
542912,35120,,465.6400,70.9600,9,2014-12-02 10:18:29, 
542921,35173-2226,,284.5400,16.2300,7,2008-12-03 13:00:00,Catalog
542964,35023,,4971.9100,248.4600,23,2015-08-13 14:31:55,Internet
542965,35226,,505.8500,9.6000,11,2017-04-29 16:18:57,Catalog
542972,35146,,668.5000,18.3900,32,2009-05-29 12:45:44, 
